question_id,answer_text,expected_concepts,answer_length,keyword_coverage,tfidf_similarity,semantic_similarity,concept_coverage,relevance_score,human_score,quality_class
204,"In hypothesis testing, the null hypothesis assumes no treatment effect. Type I error (alpha) is rejecting the null when it is true, a false positive. Type II error (beta) is failing to reject the null when an effect exists, a false negative. Statistical power is 1 minus beta, representing the probability of correctly detecting a real effect. In A/B testing, sample size and minimum detectable effect are predetermined to balance alpha and power.",null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,68,0.669,0.372,0.472,0.64,0.432,95.0,Excellent
204,Type I error is false positive where you reject null hypothesis when it is true. Type II error is false negative where you fail to detect an effect. Power is 1 minus beta. We need sufficient sample size for A/B tests.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,39,0.669,0.368,0.474,0.64,0.432,80.0,Good
204,Null hypothesis is tested with p-value. If p-value is less than 0.05 we reject. Type 1 is false alarm.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,18,0.299,0.133,0.192,0.28,0.168,50.0,Average
204,It tests if version A or B is better.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,7,0.016,0.0,0.0,0.0,0.0,22.0,Poor
301,"A process is an isolated executing program instance with its own private address space and PCB, whereas a thread is the smallest schedulable execution unit sharing memory, heap, and file descriptors with peer threads inside a process. Context switching processes incurs heavy overhead because page tables and TLB must be flushed. Virtual memory provides hardware memory abstraction through page tables managed by the MMU; a page fault interrupts execution when an accessed page is not resident in physical RAM, triggering a disk swap into an available frame.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,82,0.605,0.255,0.379,0.571,0.329,96.0,Excellent
301,"A process has its own address space, while threads share the same process memory and heap. Context switching a process is slower because of TLB cache flushes. Page faults happen when virtual address is not in RAM, so OS loads page from disk.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,41,0.408,0.273,0.302,0.357,0.29,83.0,Good
301,Process is heavy and thread is lightweight. Threads share variables. Virtual memory uses hard disk as RAM when physical memory is full.,process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,22,0.28,0.139,0.184,0.25,0.166,54.0,Average
301,Process runs in background and thread is part of it.,process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,10,0.154,0.116,0.125,0.143,0.121,22.0,Poor
302,"The four Coffman conditions are mutual exclusion, hold and wait, no preemption, and circular wait. A mutex is an ownership-based locking mechanism allowing only one thread to access a critical section. A semaphore is a signaling mechanism with an integer counter supporting synchronization across threads. A spinlock repeatedly polls the lock in a busy loop without yielding CPU time, suitable only for very low latency scenarios.",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,60,0.595,0.344,0.426,0.56,0.393,94.0,Excellent
302,"The four conditions for deadlock are mutual exclusion, hold and wait, no preemption, and circular wait. Mutex is a locking primitive for one thread, semaphore uses counters for signaling, and spinlock burns CPU cycles in a busy wait.",deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,36,0.485,0.421,0.421,0.44,0.421,82.0,Good
302,Deadlock happens when processes wait for each other in circle. Mutex locks critical section so race condition does not happen.,deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,20,0.34,0.212,0.255,0.32,0.238,52.0,Average
302,Deadlock stops the computer from working.,deadlock coffman conditions mutual exclusion hold and wait no preemption circular wait mutex binary lock semaphore signaling counting spinlock busy waiting race condition critical section,6,0.051,0.042,0.041,0.04,0.041,20.0,Poor
304,"ACID stands for Atomicity (all-or-nothing transactions via WAL), Consistency (database rules preserved), Isolation (concurrent transactions don't interfere), and Durability (committed changes persist). Isolation levels govern concurrency phenomena: Read Committed eliminates dirty reads; Repeatable Read prevents non-repeatable reads by ensuring consistent snapshots; Serializable prevents phantom reads by enforcing serial transaction execution via two-phase locking or MVCC serialization checks.",acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,57,0.779,0.348,0.511,0.76,0.446,96.0,Excellent
304,"ACID is Atomicity, Consistency, Isolation, and Durability. Read committed prevents dirty reads. Repeatable read prevents non-repeatable reads. Serializable is highest isolation preventing phantom reads.",acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,24,0.533,0.427,0.459,0.52,0.446,82.0,Good
304,ACID makes transactions reliable. Isolation levels control how transactions see data from other transactions.,acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,14,0.142,0.052,0.082,0.12,0.07,48.0,Average
304,It keeps database safe when server crashes.,acid atomicity consistency isolation durability transaction dirty read non-repeatable read phantom read read committed repeatable read serializable write skew multiversion concurrency control mvcc locks wal,7,0.016,0.0,0.0,0.0,0.0,22.0,Poor
305,"TCP establishes connections via a 3-way handshake: SYN from client, SYN-ACK from server, and ACK from client with synchronized sequence numbers. Connection termination uses a 4-way exchange with FIN and ACK packets from both endpoints. The initiating client enters TIME_WAIT state for 2 times Maximum Segment Lifetime (2MSL) to ensure that final ACK reaches server reliably and to allow any lingering duplicate packets in the network to expire before the same socket can be reused.",tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,72,0.68,0.324,0.452,0.652,0.401,95.0,Excellent
305,"TCP 3-way handshake uses SYN, SYN-ACK, and ACK. Closing uses FIN and ACK. The client enters TIME_WAIT for 2MSL so late packets die out and don't corrupt a new connection.",tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,29,0.266,0.341,0.281,0.217,0.305,82.0,Good
305,TCP sends SYN then gets ACK to connect. TIME_WAIT waits some time before closing port completely.,tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,16,0.197,0.18,0.175,0.174,0.177,50.0,Average
305,It connects internet with handshake.,tcp syn syn-ack ack sequence number connection establishment fin fin-ack termination time_wait 2msl maximum segment lifetime delayed packets socket reuse duplicate packet prevention,5,0.011,0.0,0.0,0.0,0.0,20.0,Poor
101,"Vanishing gradients occur during backpropagation when continuous chain rule multiplication of small gradients through deep layers decays the gradient to near zero, preventing early layers from updating. Exploding gradients happen when weights are large, causing gradients to grow exponentially and destabilize weights. Residual connections mitigate this by providing identity skip connections where gradients flow directly without degradation. Normalization layers like batch normalization and layer normalization stabilize activation distributions, while ReLU avoids saturation in the positive domain.",vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,81,0.808,0.292,0.494,0.86,0.413,93.0,Excellent
101,"Vanishing gradients occur during backpropagation when continuous chain rule multiplication of small gradients through deep layers decays the gradient to near zero, preventing early layers from updating. Exploding gradients happen when weights are large, causing gradients to grow exponentially and destabilize weights. Residual connections mitigate this by providing identity skip connections where gradients flow directly without degradation. Normalization layers like batch normalization and layer normalization stabilize activation distributions, while ReLU avoids saturation in the positive domain.",vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,81,0.818,0.292,0.52,0.87,0.429,90.8,Excellent
101,Vanishing gradient happens when gradients become very small in backpropagation so the early layers do not learn. Exploding gradient happens when numbers explode. Residual connections solve this by adding skip connections and batch norm normalizes inputs.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,32,0.434,0.295,0.267,0.462,0.278,74.2,Good
101,Vanishing gradient happens when gradients become very small in backpropagation so the early layers do not learn. Exploding gradient happens when numbers explode. Residual connections solve this by adding skip connections and batch norm normalizes inputs.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,31,0.387,0.245,0.31,0.412,0.284,81.9,Good
101,Vanishing gradient is an error in deep networks when learning rate is too small and weights don't change. Skip connection skips some layers to train faster.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,31,0.193,0.05,0.191,0.205,0.135,44.3,Poor
101,Vanishing gradient is an error in deep networks when learning rate is too small and weights don't change. Skip connection skips some layers to train faster.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,23,0.191,0.155,0.141,0.203,0.146,43.9,Poor
101,Gradient disappears because network is too big.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,8,0.085,0.064,0.163,0.09,0.123,22.9,Poor
101,Gradient disappears because network is too big.,vanishing gradient exploding gradient backpropagation chain rule activation saturation relu he initialization batch normalization layer normalization residual skip connections identity mapping gradient highway,6,0.109,0.058,0.091,0.116,0.078,23.7,Poor
102,"Scaled Dot-Product Attention computes attention as softmax of Q times K transpose divided by square root of dk, then multiplied by V. The scaling factor square root of dk is crucial because as the key dimension increases, the magnitude of dot products grows large, pushing the softmax function into regions with extremely small gradients. Dividing by square root of dk maintains unit variance and preserves healthy gradient flow.",query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,72,0.3,0.209,0.222,0.319,0.217,93.9,Excellent
102,"Scaled Dot-Product Attention computes attention as softmax of Q times K transpose divided by square root of dk, then multiplied by V. The scaling factor square root of dk is crucial because as the key dimension increases, the magnitude of dot products grows large, pushing the softmax function into regions with extremely small gradients. Dividing by square root of dk maintains unit variance and preserves healthy gradient flow.",query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,64,0.306,0.241,0.262,0.326,0.253,99.3,Excellent
102,"Attention computes Q and K dot product divided by square root of dk and takes softmax, then multiplies by V. The square root of dk scaling is needed so the dot product doesn't become too large and saturate the softmax.",query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,36,0.178,0.247,0.23,0.189,0.237,79.7,Good
102,"Attention computes Q and K dot product divided by square root of dk and takes softmax, then multiplies by V. The square root of dk scaling is needed so the dot product doesn't become too large and saturate the softmax.",query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,36,0.224,0.242,0.161,0.239,0.193,85.5,Excellent
102,It does matrix multiplication of query key value. Softmax is used to turn numbers into probabilities.,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,19,0.265,0.234,0.23,0.282,0.232,45.6,Average
102,It does matrix multiplication of query key value. Softmax is used to turn numbers into probabilities.,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,18,0.197,0.167,0.209,0.21,0.192,48.3,Average
102,It is attention mechanism in transformers.,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,6,0.047,0.05,0.05,0.05,0.05,15.1,Poor
102,It is attention mechanism in transformers.,query key value dot product matrix multiplication scale factor square root dk softmax variance distribution numerical stability vanishing gradients multi head projection,11,0.047,0.05,0.05,0.05,0.05,16.3,Poor
104,"VAEs use an encoder to map inputs to a probabilistic latent space and decode samples via the reparameterization trick, optimizing reconstruction loss and KL divergence. Diffusion models discard explicit latent bottlenecks. They define a forward Markov chain that incrementally adds Gaussian noise to data and train a U-Net score-based model to reverse the process by predicting and subtracting noise step-by-step.",vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,61,0.496,0.184,0.393,0.528,0.31,95.8,Excellent
104,"VAEs use an encoder to map inputs to a probabilistic latent space and decode samples via the reparameterization trick, optimizing reconstruction loss and KL divergence. Diffusion models discard explicit latent bottlenecks. They define a forward Markov chain that incrementally adds Gaussian noise to data and train a U-Net score-based model to reverse the process by predicting and subtracting noise step-by-step.",vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,53,0.467,0.214,0.374,0.496,0.31,96.0,Excellent
104,VAEs have an encoder and decoder with a latent space and use reparameterization trick. Diffusion models add noise step by step and then train a UNet to denoise iteratively.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,33,0.272,0.193,0.195,0.29,0.195,81.3,Good
104,VAEs have an encoder and decoder with a latent space and use reparameterization trick. Diffusion models add noise step by step and then train a UNet to denoise iteratively.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,24,0.286,0.154,0.225,0.304,0.197,77.0,Good
104,VAEs generate images using autoencoders. Diffusion models generate images by removing noise.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,15,0.109,0.05,0.065,0.116,0.059,50.0,Average
104,VAEs generate images using autoencoders. Diffusion models generate images by removing noise.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,13,0.083,0.065,0.091,0.088,0.08,47.6,Average
104,Both are image generative models.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,6,0.047,0.082,0.05,0.05,0.063,19.1,Poor
104,Both are image generative models.,vae latent space reparameterization trick kl divergence reconstruction loss diffusion models forward noising markov chain reverse denoising score matching unet iterative sampling,10,0.047,0.097,0.05,0.05,0.069,18.6,Poor
201,"Expected prediction error can be analytically decomposed into three components: Bias squared, Variance, and Irreducible noise. Bias squared measures the difference between expected model predictions and true underlying function, indicating underfitting. Variance measures sensitivity of model predictions to training set fluctuations, indicating overfitting. Irreducible noise represents inherent stochasticity in the data generation process.",expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,52,0.595,0.437,0.437,0.633,0.437,93.4,Excellent
201,"Expected prediction error can be analytically decomposed into three components: Bias squared, Variance, and Irreducible noise. Bias squared measures the difference between expected model predictions and true underlying function, indicating underfitting. Variance measures sensitivity of model predictions to training set fluctuations, indicating overfitting. Irreducible noise represents inherent stochasticity in the data generation process.",expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,58,0.533,0.356,0.454,0.567,0.414,98.1,Excellent
201,Bias squared is error from wrong assumptions leading to underfitting. Variance is error from sensitivity to training data causing overfitting. The third part is irreducible noise which cannot be removed by any model.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,28,0.301,0.22,0.308,0.32,0.273,85.3,Excellent
201,Bias squared is error from wrong assumptions leading to underfitting. Variance is error from sensitivity to training data causing overfitting. The third part is irreducible noise which cannot be removed by any model.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,34,0.294,0.233,0.274,0.313,0.258,84.9,Good
201,Bias means model is simple and underfits. Variance means model is complex and overfits. We need to find balance.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,23,0.147,0.158,0.116,0.157,0.133,57.5,Average
201,Bias means model is simple and underfits. Variance means model is complex and overfits. We need to find balance.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,22,0.155,0.053,0.109,0.164,0.087,56.2,Average
201,Tradeoff between bias and variance in ML.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,8,0.111,0.079,0.087,0.118,0.084,22.0,Poor
201,Tradeoff between bias and variance in ML.,expected prediction error bias squared variance irreducible noise true target function model capacity underfitting overfitting decomposition expectation,6,0.165,0.092,0.062,0.175,0.074,20.3,Poor
202,"Bagging trains independent base learners in parallel on bootstrap samples and aggregates their predictions, primarily reducing model variance with minimal impact on bias. Boosting trains weak learners sequentially, where each consecutive model fits the pseudo-residuals or gradients of previous learners, primarily driving down bias. Bagging is highly parallelizable and robust to outliers, while boosting can overfit noisy data if learning rate isn't controlled.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,58,0.355,0.124,0.262,0.378,0.207,92.8,Excellent
202,"Bagging trains independent base learners in parallel on bootstrap samples and aggregates their predictions, primarily reducing model variance with minimal impact on bias. Boosting trains weak learners sequentially, where each consecutive model fits the pseudo-residuals or gradients of previous learners, primarily driving down bias. Bagging is highly parallelizable and robust to outliers, while boosting can overfit noisy data if learning rate isn't controlled.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,64,0.404,0.198,0.237,0.43,0.221,97.9,Excellent
202,"Bagging like Random Forest runs trees in parallel on bootstrap data to reduce variance. Boosting like XGBoost builds trees sequentially to correct errors and reduce bias, but is more sensitive to outliers.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,34,0.21,0.194,0.162,0.223,0.175,83.8,Good
202,"Bagging like Random Forest runs trees in parallel on bootstrap data to reduce variance. Boosting like XGBoost builds trees sequentially to correct errors and reduce bias, but is more sensitive to outliers.",bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,27,0.174,0.137,0.192,0.185,0.17,84.5,Good
202,Random forest is bagging and gradient boost is boosting. One is parallel and other is sequential.,bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,22,0.148,0.05,0.115,0.157,0.089,54.9,Average
202,Random forest is bagging and gradient boost is boosting. One is parallel and other is sequential.,bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,17,0.091,0.122,0.103,0.097,0.11,49.8,Average
202,They combine trees together.,bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,6,0.062,0.082,0.05,0.066,0.063,23.5,Poor
202,They combine trees together.,bagging bootstrap aggregation variance reduction independent parallel trees boosting sequential learning gradient descent residual fitting bias reduction outlier sensitivity learning rate subsampling,8,0.047,0.073,0.082,0.05,0.078,20.3,Poor
204,"In hypothesis testing, the null hypothesis assumes no treatment effect. Type I error (alpha) is rejecting the null when it is true, a false positive. Type II error (beta) is failing to reject the null when an effect exists, a false negative. Statistical power is 1 minus beta, representing the probability of correctly detecting a real effect. In A/B testing, sample size and minimum detectable effect are predetermined to balance alpha and power.",null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,74,0.575,0.432,0.519,0.611,0.484,95.4,Excellent
204,"In hypothesis testing, the null hypothesis assumes no treatment effect. Type I error (alpha) is rejecting the null when it is true, a false positive. Type II error (beta) is failing to reject the null when an effect exists, a false negative. Statistical power is 1 minus beta, representing the probability of correctly detecting a real effect. In A/B testing, sample size and minimum detectable effect are predetermined to balance alpha and power.",null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,73,0.566,0.345,0.492,0.603,0.433,95.5,Excellent
204,Type I error is false positive where you reject null hypothesis when it is true. Type II error is false negative where you fail to detect an effect. Power is 1 minus beta. We need sufficient sample size for A/B tests.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,37,0.645,0.402,0.488,0.686,0.454,82.8,Good
204,Type I error is false positive where you reject null hypothesis when it is true. Type II error is false negative where you fail to detect an effect. Power is 1 minus beta. We need sufficient sample size for A/B tests.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,41,0.634,0.388,0.482,0.674,0.445,76.7,Good
204,Null hypothesis is tested with p-value. If p-value is less than 0.05 we reject. Type 1 is false alarm.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,21,0.282,0.074,0.158,0.3,0.124,49.0,Average
204,Null hypothesis is tested with p-value. If p-value is less than 0.05 we reject. Type 1 is false alarm.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,18,0.257,0.192,0.16,0.274,0.173,50.4,Average
204,It tests if version A or B is better.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,6,0.047,0.05,0.05,0.05,0.05,18.1,Poor
204,It tests if version A or B is better.,null hypothesis alternative hypothesis type i error false positive alpha significance level type ii error false negative beta power sample size effect size z-test t-test,6,0.047,0.05,0.05,0.05,0.05,23.8,Poor
301,"A process is an isolated executing program instance with its own private address space and PCB, whereas a thread is the smallest schedulable execution unit sharing memory, heap, and file descriptors with peer threads inside a process. Context switching processes incurs heavy overhead because page tables and TLB must be flushed. Virtual memory provides hardware memory abstraction through page tables managed by the MMU; a page fault interrupts execution when an accessed page is not resident in physical RAM, triggering a disk swap into an available frame.",process thread shared address space thread control block process control block context switch register state overhead virtual memory page table mmu page fault disk swap tlb cache miss,82,0.591,0.253,0.42,0.628,0.353,94.0,Excellent
